,SalePrice
0,212898.45743294235
1,191999.88317322172
2,217171.54165744537
3,180898.54885655292
4,274007.2190480161
5,170581.50874342734
6,258717.71206939523
7,237503.5218594625
8,172032.55083195365
9,108224.88007151312
10,129037.22059322044
11,304595.5203643844
12,129180.24579876836
13,235147.9745296277
14,163882.65564714174
15,148931.86401404976
16,157777.41776551364
17,107193.51207797439
18,175416.3665788659
19,129944.69614190038
20,284346.15525382664
21,126490.67773903348
22,243805.807150005
23,160562.16405332624
24,156694.700381884
25,246976.83325199212
26,137421.74507803482
27,263755.901104241
28,203694.0022046771
29,65692.80763451639
30,88689.87356442155
31,146215.10235638206
32,200415.06006753247
33,174890.90573836805
34,247255.32127030776
35,273382.4766671965
36,170175.57456162653
37,163507.5709683568
38,137052.0497952603
39,64256.74454813835
40,175370.37912678975
41,162497.07631146186
42,146369.58721476165
43,126063.58180026535
44,126554.72022289969
45,251536.07936380582
46,254145.41121637973
47,243189.8146883489
48,76492.86934532819
49,129639.2606648705
50,170995.4058152293
51,134032.23105596518
52,118448.2084107484
53,303008.9669165334
54,135194.2439563016
55,193428.1113485311
56,212400.80084675865
57,201788.42787342076
58,316667.4242797543
59,115033.28332205478
60,184111.01055718912
61,105459.1248754951
62,210552.1070423543
63,162552.00075576303
64,241305.91533942323
65,273673.9060437032
66,256838.43034579686
67,221701.68356351648
68,76826.23468547245
69,211410.32597216056
70,275319.98806803534
71,129062.40022951108
72,212163.85515279148
73,150648.6608925279
74,96966.93532233837
75,99672.52077633666
76,97873.75185603194
77,130154.56895139709
78,126775.97533032985
79,119811.06619200704
80,202524.17720729124
81,187559.2614192164
82,243518.72764999897
83,136567.76432536007
84,185565.56695744942
85,248911.86350070592
86,185073.01806157466
87,161890.8911872093
88,78451.03953813075
89,110516.01686246658
90,89988.5244583661
91,142753.2966666855
92,139271.9297767185
93,191621.4300074894
94,206382.1645406438
95,187573.997599251
96,216147.05717272218
97,121646.51527261431
98,86603.54543536168
99,117638.41149711155
100,228767.83428211452
101,190580.47455855168
102,128823.71263868024
103,203469.26671000582
104,172155.89411663334
105,240879.55537670187
106,98682.05437850894
107,92713.4297632284
108,124938.12166782632
109,217859.41617193364
110,166393.09655234218
111,187380.51354283176
112,295060.8833758107
113,227842.36846036883
114,216955.3813103682
115,172811.46638743463
116,124441.25120045396
117,160141.92128416337
118,318050.30652852927
119,187642.96222164622
120,170786.80411235662
121,83377.80357200466
122,132796.09528344998
123,166946.41118925728
124,200797.51616628224
125,89185.86996463838
126,156191.8991528137
127,82412.4100210556
128,161122.1013472746
129,162137.8873746153
130,222226.3152295251
131,216595.25195737218
132,167110.5726561814
133,215560.75132726307
134,202088.34444071515
135,202383.36811928765
136,150236.8589105939
137,230151.09244094905
138,252871.98358810914
139,210505.0147493846
140,93044.66508780664
141,241330.52381555154
142,144608.5269923535
